,Unnamed: 0,Sr No.,"Date ofEncashment",Name of the Political Party,"Account no. ofPolitical Party",Prefix,"BondNumber",Denominations,"Pay BranchCode",Pay Teller
0,61,61,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4274,10000000,691,3627829
1,62,62,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4276,10000000,691,3627829
2,63,63,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5827,10000000,691,3627829
3,64,64,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5847,10000000,691,3627829
4,65,65,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4303,10000000,691,3627829
5,66,66,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4301,10000000,691,3627829
6,67,67,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5831,10000000,691,3627829
7,68,68,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4321,10000000,691,3627829
8,69,69,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5861,10000000,691,3627829
9,70,70,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4325,10000000,691,3627829
10,71,71,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5843,10000000,691,3627829
11,72,72,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5837,10000000,691,3627829
12,73,73,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5817,10000000,691,3627829
13,74,74,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4319,10000000,691,3627829
14,76,75,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4293,10000000,691,3627829
15,77,76,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4305,10000000,691,3627829
16,78,77,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5801,10000000,691,3627829
17,79,78,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5825,10000000,691,3627829
18,80,79,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4313,10000000,691,3627829
19,81,80,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5805,10000000,691,3627829
20,82,81,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5829,10000000,691,3627829
21,83,82,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5821,10000000,691,3627829
22,84,83,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5839,10000000,691,3627829
23,85,84,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5841,10000000,691,3627829
24,86,85,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5813,10000000,691,3627829
25,87,86,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5833,10000000,691,3627829
26,88,87,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4327,10000000,691,3627829
27,89,88,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4311,10000000,691,3627829
28,90,89,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4347,10000000,691,3627829
29,91,90,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4317,10000000,691,3627829
30,92,91,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5809,10000000,691,3627829
31,93,92,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5855,10000000,691,3627829
32,94,93,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4333,10000000,691,3627829
33,95,94,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4335,10000000,691,3627829
34,96,95,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4337,10000000,691,3627829
35,97,96,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4343,10000000,691,3627829
36,98,97,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4295,10000000,691,3627829
37,99,98,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,4331,10000000,691,3627829
38,100,99,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5819,10000000,691,3627829
39,101,100,12/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5853,10000000,691,3627829
