,index,Sr No.,"Date ofEncashment",Name of the Political Party,"Account no. ofPolitical Party",Prefix,"BondNumber",Denominations,"Pay BranchCode",Pay Teller
0,0,1,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,775,10000000,00800,2770121
1,1,2,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3975,10000000,00800,2770121
2,2,3,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3967,10000000,00800,2770121
3,3,4,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10418,1000000,00800,2770121
4,4,5,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,126,1000000,00800,2770121
5,5,6,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,116,1000000,00800,2770121
6,6,7,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10466,1000000,00800,2770121
7,7,8,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,122,1000000,00800,2770121
8,8,9,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,158,1000000,00800,2770121
9,9,10,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,108,1000000,00800,2770121
10,10,11,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10446,1000000,00800,2770121
11,11,12,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10434,1000000,00800,2770121
12,12,13,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,162,1000000,00800,2770121
13,13,14,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,128,1000000,00800,2770121
14,14,15,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,113,1000000,00800,2770121
15,15,16,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10423,1000000,00800,2770121
16,16,17,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,110,1000000,00800,2770121
17,17,18,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,131,1000000,00800,2770121
18,18,19,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,164,1000000,00800,2770121
19,19,20,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,118,1000000,00800,2770121
20,20,21,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10449,1000000,00800,2770121
21,21,22,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10417,1000000,00800,2770121
22,22,23,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10426,1000000,00800,2770121
23,23,24,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10420,1000000,00800,2770121
24,24,25,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10443,1000000,00800,2770121
25,25,26,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10452,1000000,00800,2770121
26,26,27,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,160,1000000,00800,2770121
27,27,28,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10408,1000000,00800,2770121
28,28,29,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,120,1000000,00800,2770121
29,29,30,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10464,1000000,00800,2770121
30,30,31,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,124,1000000,00800,2770121
31,31,32,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10440,1000000,00800,2770121
32,32,33,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10469,1000000,00800,2770121
33,33,34,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,6646,10000000,00847,3367975
34,34,35,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,6644,10000000,00847,3367975
35,35,36,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5470,10000000,00847,3367975
36,36,37,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5455,10000000,00847,3367975
37,38,38,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5467,10000000,00847,3367975
38,39,39,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5460,10000000,00847,3367975
39,40,40,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5463,10000000,00847,3367975
40,41,41,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,OC,5451,10000000,00847,3367975
